,song,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
15,beggin',måneskin,0.127,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,0.714,211560.0,0.8,3Wrjm47oTz2sjIgck11l5e,0.0,11.0,0.359,-4.808,0.0,0.0504,134.002,4.0,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,audio_features,spotify:track:3Wrjm47oTz2sjIgck11l5e,0.589
16,levitating,dua lipa,0.0561,https://api.spotify.com/v1/audio-analysis/39LLxExYz6ewLAcYrzQQyP,0.695,203808.0,0.884,39LLxExYz6ewLAcYrzQQyP,0.0,6.0,0.213,-2.278,0.0,0.0753,103.014,4.0,https://api.spotify.com/v1/tracks/39LLxExYz6ewLAcYrzQQyP,audio_features,spotify:track:39LLxExYz6ewLAcYrzQQyP,0.914
17,state of grace (taylor's version),taylor swift,0.000328,https://api.spotify.com/v1/audio-analysis/6lzc0Al0zfZOIFsFvBS1ki,0.594,295413.0,0.713,6lzc0Al0zfZOIFsFvBS1ki,0.0,9.0,0.114,-5.314,1.0,0.0503,129.958,4.0,https://api.spotify.com/v1/tracks/6lzc0Al0zfZOIFsFvBS1ki,audio_features,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.328
18,one right now (with the weeknd),post malone,0.0361,https://api.spotify.com/v1/audio-analysis/00Blm7zeNqgYLPtW6zg8cj,0.687,193507.0,0.781,00Blm7zeNqgYLPtW6zg8cj,0.0,1.0,0.0755,-4.806,1.0,0.053,97.014,4.0,https://api.spotify.com/v1/tracks/00Blm7zeNqgYLPtW6zg8cj,audio_features,spotify:track:00Blm7zeNqgYLPtW6zg8cj,0.688
19,already dead,juice wrld,0.019,https://api.spotify.com/v1/audio-analysis/7qM1BWAsZMTYh4BcYLb0uQ,0.74,231011.0,0.501,7qM1BWAsZMTYh4BcYLb0uQ,0.0,1.0,0.114,-6.339,1.0,0.0592,83.5,4.0,https://api.spotify.com/v1/tracks/7qM1BWAsZMTYh4BcYLb0uQ,audio_features,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,0.119
20,kiss me more (feat. sza),doja cat,0.235,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,0.762,208867.0,0.701,748mdHapucXQri7IAO8yFK,0.000158,8.0,0.123,-3.541,1.0,0.0286,110.968,4.0,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,audio_features,spotify:track:748mdHapucXQri7IAO8yFK,0.742
21,i bet you think about me (feat. chris stapleton) (taylor’s version) (from the vault),taylor swift,0.167,https://api.spotify.com/v1/audio-analysis/4CkgMiMqZ5JzW9iYXSTMTL,0.391,285107.0,0.715,4CkgMiMqZ5JzW9iYXSTMTL,0.0,0.0,0.183,-4.516,1.0,0.0495,149.654,3.0,https://api.spotify.com/v1/tracks/4CkgMiMqZ5JzW9iYXSTMTL,audio_features,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.473
22,leave the door open,bruno mars,0.182,https://api.spotify.com/v1/audio-analysis/0LDiaSudHOYJ8e473mv5uY,0.586,242096.0,0.616,0LDiaSudHOYJ8e473mv5uY,0.0,5.0,0.0927,-7.964,1.0,0.0324,148.088,4.0,https://api.spotify.com/v1/tracks/0LDiaSudHOYJ8e473mv5uY,audio_features,spotify:track:0LDiaSudHOYJ8e473mv5uY,0.719
23,if i didn't love you,jason aldean,0.176,https://api.spotify.com/v1/audio-analysis/5f3MXmTmstozFg0BH1yPUk,0.456,212030.0,0.679,5f3MXmTmstozFg0BH1yPUk,0.0,1.0,0.103,-4.802,1.0,0.0324,184.075,4.0,https://api.spotify.com/v1/tracks/5f3MXmTmstozFg0BH1yPUk,audio_features,spotify:track:5f3MXmTmstozFg0BH1yPUk,0.483
24,red (taylor's version),taylor swift,0.00108,https://api.spotify.com/v1/audio-analysis/4OAuvHryIVv4kMDNSLuPt6,0.516,223093.0,0.777,4OAuvHryIVv4kMDNSLuPt6,1.62E-06,1.0,0.0761,-4.908,0.0,0.0375,125.047,4.0,https://api.spotify.com/v1/tracks/4OAuvHryIVv4kMDNSLuPt6,audio_features,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.408
25,save your tears,the weeknd,0.0212,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,0.68,215627.0,0.826,5QO79kh1waicV47BqGRL3g,1.24E-05,0.0,0.543,-5.487,1.0,0.0309,118.051,4.0,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,audio_features,spotify:track:5QO79kh1waicV47BqGRL3g,0.644
26,knife talk (with 21 savage ft. project pat),drake,0.0635,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,0.849,242966.0,0.424,2BcMwX1MPV6ZHP4tUT9uq6,0.0,5.0,0.0834,-9.579,0.0,0.324,145.887,4.0,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,audio_features,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,0.153
27,meet me at our spot,the anxiety,0.0153,https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG,0.773,162680.0,0.47,07MDkzWARZaLEdKxo6yArG,0.000193,2.0,0.0851,-7.93,1.0,0.0299,94.995,4.0,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG,audio_features,spotify:track:07MDkzWARZaLEdKxo6yArG,0.399
28,better days (neiked x mae muller x polo g),neiked,0.0018,https://api.spotify.com/v1/audio-analysis/6f5ExP43esnvdKPddwKXJH,0.717,160657.0,0.671,6f5ExP43esnvdKPddwKXJH,2.54E-06,0.0,0.0921,-5.077,0.0,0.0337,110.054,4.0,https://api.spotify.com/v1/tracks/6f5ExP43esnvdKPddwKXJH,audio_features,spotify:track:6f5ExP43esnvdKPddwKXJH,0.699
29,thinking 'bout you (feat. mackenzie porter),dustin lynch,0.137,https://api.spotify.com/v1/audio-analysis/7DhvNzyMM8jJWcfykG3psB,0.403,170560.0,0.711,7DhvNzyMM8jJWcfykG3psB,0.0,8.0,0.109,-4.189,1.0,0.0569,203.803,4.0,https://api.spotify.com/v1/tracks/7DhvNzyMM8jJWcfykG3psB,audio_features,spotify:track:7DhvNzyMM8jJWcfykG3psB,0.801
