,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster
51,0.000443,0.642,230960.0,0.695,1.02e-05,7.0,0.0753,-5.62,1.0,0.0281,103.984,4.0,0.642,4
52,0.18,0.593,254181.0,0.552,1.71e-05,1.0,0.11,-5.838,1.0,0.028,115.0,4.0,0.39,1
53,0.0344,0.645,242720.0,0.593,0.000127,2.0,0.13,-6.506,1.0,0.0288,109.984,4.0,0.299,1
54,0.0317,0.567,193147.0,0.686,1.86e-06,7.0,0.0732,-6.139,1.0,0.175,172.014,4.0,0.716,7
55,0.17,0.707,231498.0,0.618,0.0,1.0,0.293,-5.825,0.0,0.19,133.876,4.0,0.517,8
56,0.0249,0.74,209476.0,0.576,0.0,6.0,0.104,-6.744,0.0,0.146,110.095,4.0,0.315,8
57,0.297,0.903,148779.0,0.535,0.0,9.0,0.345,-6.434,1.0,0.0742,130.022,4.0,0.508,4
58,0.0167,0.511,244587.0,0.559,0.0,4.0,0.113,-6.587,1.0,0.0264,145.88,4.0,0.248,7
59,0.336,0.571,161684.0,0.767,0.0,2.0,0.0809,-5.16,1.0,0.287,93.421,4.0,0.605,1
60,0.00115,0.678,200280.0,0.733,0.0,7.0,0.104,-5.025,1.0,0.0281,121.009,4.0,0.581,4
61,0.00575,0.711,252070.0,0.611,0.0,1.0,0.231,-5.453,1.0,0.329,134.14,4.0,0.144,11
62,0.271,0.498,245427.0,0.61,0.0,6.0,0.223,-5.098,1.0,0.0363,79.918,4.0,0.474,4
63,0.59,0.403,202133.0,0.537,0.0,3.0,0.112,-6.628,1.0,0.031,69.877,4.0,0.414,6
64,0.386,0.666,105377.0,0.643,0.0,8.0,0.283,-7.01,1.0,0.423,96.375,4.0,0.756,11
65,0.0399,0.502,299080.0,0.534,0.0,2.0,0.0977,-5.954,1.0,0.0278,94.05,4.0,0.155,1
66,0.0848,0.693,205787.0,0.681,0.0,0.0,0.0768,-7.039,1.0,0.025,100.02,4.0,0.663,1
67,0.0297,0.651,249444.0,0.703,0.0,0.0,0.0608,-8.958,0.0,0.0816,140.051,4.0,0.647,8
68,0.0538,0.584,224240.0,0.743,2.83e-06,4.0,0.121,-7.075,1.0,0.0931,167.844,4.0,0.746,7
69,0.00383,0.681,161053.0,0.63,0.0,1.0,0.139,-5.585,1.0,0.0385,151.951,4.0,0.183,1
70,0.00207,0.839,149610.0,0.506,0.0,5.0,0.13,-6.714,0.0,0.133,154.12,4.0,0.44,8
71,0.00279,0.471,213719.0,0.846,2.86e-06,0.0,0.145,-5.269,1.0,0.0389,100.089,4.0,0.539,1
72,0.0363,0.482,284870.0,0.548,2.28e-06,11.0,0.3,-9.946,1.0,0.0373,76.017,4.0,0.346,4
73,0.229,0.557,226267.0,0.565,3.9e-06,7.0,0.119,-6.12,1.0,0.026,125.956,3.0,0.187,0
74,0.037,0.708,203123.0,0.598,0.0,5.0,0.17,-8.365,1.0,0.0291,112.027,4.0,0.698,4
75,0.0288,0.622,202960.0,0.809,0.00218,9.0,0.109,-5.623,1.0,0.0638,156.894,4.0,0.511,4
76,0.075,0.519,238867.0,0.527,0.0,7.0,0.132,-7.673,1.0,0.0274,78.915,4.0,0.267,4
77,0.0471,0.548,255455.0,0.627,0.0,9.0,0.285,-8.949,1.0,0.0409,143.994,4.0,0.493,7
78,0.256,0.611,263533.0,0.552,0.0,7.0,0.134,-5.828,1.0,0.031,116.012,4.0,0.41,4
79,0.508,0.653,206507.0,0.623,3.32e-06,8.0,0.285,-4.56,1.0,0.0244,100.021,4.0,0.718,4
80,0.00756,0.783,219389.0,0.627,0.0,2.0,0.0606,-8.521,1.0,0.102,100.025,4.0,0.48,1
81,0.00265,0.825,200548.0,0.414,0.0,2.0,0.357,-6.634,1.0,0.144,72.993,4.0,0.106,1
82,0.0494,0.636,285280.0,0.402,0.0,7.0,0.107,-7.855,1.0,0.031,125.952,4.0,0.208,4
83,0.066,0.686,240467.0,0.571,0.0,4.0,0.0608,-7.138,1.0,0.05,117.889,4.0,0.538,1
84,0.622,0.601,284773.0,0.406,9.19e-05,7.0,0.133,-11.827,1.0,0.0275,130.059,3.0,0.232,0
85,0.0503,0.666,291175.0,0.465,0.0,1.0,0.215,-8.545,1.0,0.26,167.937,4.0,0.292,7
86,0.0158,0.46,223333.0,0.632,0.0,4.0,0.0822,-6.031,1.0,0.0302,79.846,4.0,0.399,1
87,0.434,0.859,204764.0,0.525,2.34e-05,1.0,0.108,-8.051,0.0,0.0592,110.066,4.0,0.312,8
88,0.0375,0.757,207161.0,0.705,5.8e-06,2.0,0.114,-5.084,1.0,0.0252,104.972,4.0,0.855,1
89,0.00324,0.628,220413.0,0.685,0.0,4.0,0.18,-5.864,1.0,0.0358,126.014,4.0,0.605,1
90,0.0536,0.91,165067.0,0.585,0.0,11.0,0.127,-7.572,0.0,0.257,129.011,4.0,0.599,2
91,0.239,0.726,225502.0,0.728,0.0,11.0,0.177,-5.775,0.0,0.0408,115.047,4.0,0.566,2
92,0.0891,0.563,212720.0,0.847,0.0,1.0,0.121,-4.493,1.0,0.0468,96.06,4.0,0.666,1
93,0.946,0.77,188103.0,0.302,3.38e-05,0.0,0.125,-7.911,0.0,0.0466,136.01,4.0,0.821,8
94,0.0514,0.935,173182.0,0.807,0.0,11.0,0.349,-3.838,0.0,0.114,106.017,4.0,0.813,2
95,0.00279,0.542,234000.0,0.659,0.0,8.0,0.105,-7.289,1.0,0.0389,120.122,4.0,0.109,7
96,0.0513,0.501,224213.0,0.815,0.0,1.0,0.106,-4.865,1.0,0.0436,160.087,4.0,0.46,7
97,0.0888,0.824,172627.0,0.764,0.00294,5.0,0.117,-4.175,0.0,0.0854,107.998,4.0,0.881,2
98,0.0107,0.748,220196.0,0.74,2.18e-05,8.0,0.101,-6.01,1.0,0.0484,121.004,4.0,0.518,4
99,0.0699,0.442,193822.0,0.517,0.0,9.0,0.114,-7.807,1.0,0.0548,79.867,4.0,0.2,4
100,0.0585,0.682,198684.0,0.955,3.18e-05,4.0,0.226,-5.02,0.0,0.0591,124.999,4.0,0.451,8
101,0.896,0.614,180933.0,0.318,0.00239,7.0,0.0795,-12.695,1.0,0.0478,119.959,4.0,0.112,6
102,0.0468,0.334,151444.0,0.599,0.000392,0.0,0.205,-5.742,1.0,0.0365,161.74,3.0,0.127,7
103,0.283,0.726,168840.0,0.444,0.143,8.0,0.177,-8.922,0.0,0.372,185.044,4.0,0.569,11
104,0.934,0.351,200186.0,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,4.0,0.12,6
105,0.328,0.701,194088.0,0.425,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,4.0,0.562,11
106,0.917,0.38,242265.0,0.219,0.0104,4.0,0.0827,-13.273,0.0,0.0358,73.537,4.0,0.0517,6
107,0.902,0.704,245426.0,0.225,0.657,6.0,0.106,-14.454,0.0,0.0994,120.006,4.0,0.243,5
